company,title,location,regions,salary_min,salary_max
kaapro management solutions,urgent opening vp – sales (diagnostics) -jaipur,"jaipur, rajasthan","india, rajasthan, jaipur",,
vinayak outsourcing works,"vp commercial for steel manufacturing-asansol,westbengal","asansol, bardhaman","india, west bengal, bardhaman, asansol",,
quick turtle,svp / vp / avp/ relationship managers - pcg,"vadodara, gujarat","india, gujarat, vadodara",,
quick turtle,svp / vp / avp/ relationship managers - pcg,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,svp / vp / avp/ relationship managers - pcg,"kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,svp / vp / avp/ relationship managers - pcg,"jaipur, rajasthan","india, rajasthan, jaipur",,
deutsche bank,"software engineer, fic sales technology, vp",india,india,,
deutsche bank,"full stack engineer for audit confirmations, vp",india,india,,
synchrony,"vp, senior audit manager – technology (l12)","kolkata, west bengal","india, west bengal, kolkata",,
acura solution,deutsche bank / operation head - vp / pune,"pune, maharashtra","india, maharashtra, pune",,
people first consultants,vp product - payment platform - sm level,"hyderabad, telangana","india, telangana, hyderabad",,
deutsche bank,"client-facing product & solutions specialist, vp",india,india,,
dws,"senior risk manager, uk erm, vp",india,india,,
dws,"senior risk manager - nfrm adherence, vp",india,india,,
barclays,vp product owner - liquidity management platform,india,india,,
barclays,"vp payments and collections, regional product manager",india,india,,
deutsche bank,"senior technical lead – service operations, vp",india,india,,
deutsche bank,ai python full stack engineer - vp,india,india,,
danaher,"vp & general manager – diagnostics platform, india",india,india,,
deutsche bank,"regional travel manager asia pacific, vp","mumbai, maharashtra","india, maharashtra, mumbai",,
deutsche bank,"divisional risk & control specialist cb, vp","mumbai, maharashtra","india, maharashtra, mumbai",,
yes bank limited,vp/avp/sm – information security audit,"navi mumbai, maharashtra","india, maharashtra, navi mumbai",,
jefferies financial group,senior aws developer - risk technology - vp,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,svp / vp / avp / relationship managers - pcg,"kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,svp / vp / avp / relationship managers - pcg,"vadodara, gujarat","india, gujarat, vadodara",,
quick turtle,svp / vp / avp / relationship managers - pcg,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,svp / vp / avp / relationship managers - pcg,"jaipur, rajasthan","india, rajasthan, jaipur",,
quick turtle,vp / avp nri desk / equity broking,"ernakulam, kerala","india, kerala, ernakulam",,
quick turtle,vp / avp / branch manager - nri desk,"vadodara, gujarat","india, gujarat, vadodara",,
quick turtle,vp / avp / branch manager - nri desk,"thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,vp / avp / branch manager - nri desk,"kolkata, west bengal","india, west bengal, kolkata",,
natwest group,"customer service & operations unit leader, vp","gurgaon, haryana","india, haryana, gurgaon",,
houlihan lokey,vp- digital value creation-tas india,india,india,,
quick turtle,vp / avp nri desk / equity broking,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,vp / avp nri desk / equity broking,"thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,vp / avp nri desk / equity broking,"delhi, india","india, delhi",,
quick turtle,vp / avp / branch manager - nri desk,"pune, maharashtra","india, maharashtra, pune",,
danaher corporation,"vp & general manager - diagnostics platform, india","mumbai, maharashtra","india, maharashtra, mumbai",,
citigroup,senior vp - data science & gen ai,"pune, maharashtra","india, maharashtra, pune",,
citigroup,avp/vp-data/information management analyst,"bangalore, karnataka","india, karnataka, bangalore",,
citigroup,vp - supply chain - sourcing lead analyst,"chennai, tamil nadu","india, tamil nadu, chennai",,
citigroup,vp- business analyst- data privacy & compliance,"mumbai, maharashtra","india, maharashtra, mumbai",,
goldman sachs,engineering division - lex platform - vp- bengaluru,"bangalore, karnataka","india, karnataka, bangalore",,
i4 consulting : reimagining hr blueprints,"avp/vp tech alliances, it infrastructure","bangalore, karnataka","india, karnataka, bangalore",,
deutsche bank,"senior risk manager, uk erm, vp","pune, maharashtra","india, maharashtra, pune",,
aqr india,engineering - quant research development - pi- vp,"bangalore, karnataka","india, karnataka, bangalore",,
citigroup,vp- custody product manager -data & ai,"pune, maharashtra","india, maharashtra, pune",,
houlihan lokey,vp- structured products (portfolio valuation) india,"mumbai, maharashtra","india, maharashtra, mumbai",,
dws,"fund accounting & reporting (us support), vp",india,india,,
bp,"vp customer excellence and operations, castrol india",india,india,,
dc consultants,gm/vp-commercial (scm)-infrastructure industry,"ahmedabad, gujarat","india, gujarat, ahmedabad",,
cutshort lightning,vp- react native engineering lead (84760),"pune, maharashtra","india, maharashtra, pune",,
genetic callnet,vp/senior manager/manager - retail leasing,india,india,2000000.0,7000000.0
quick turtle,"svp/vp/ avp / relationship managers , private bankers","coimbatore, tamil nadu","india, tamil nadu, coimbatore",,
quick turtle,"svp/vp/ avp / relationship managers , private bankers","kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,"svp/vp/ avp / relationship managers , private bankers","pune, maharashtra","india, maharashtra, pune",,
quick turtle,"svp/vp/ avp / relationship managers , private bankers","ernakulam, kerala","india, kerala, ernakulam",,
quick turtle,"svp/vp/ avp / relationship managers , private bankers","thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,"svp / vp / avp / relationship managers , private bankers","kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,"svp / vp / avp / relationship managers , private bankers","pune, maharashtra","india, maharashtra, pune",,
quick turtle,"svp / vp / avp / relationship managers , private bankers","coimbatore, tamil nadu","india, tamil nadu, coimbatore",,
quick turtle,"svp / vp / avp / relationship managers , private bankers","thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,"svp / vp / avp / relationship managers , private bankers","delhi, india","india, delhi",,
quick turtle,"svp / vp / avp / relationship managers , private bankers","ernakulam, kerala","india, kerala, ernakulam",,
deutsche bank,"engineer - production focussed remediation and toil reduction, vp",india,india,,
mufg global service ,vice president (vp) platform engineer - threat detection,"bangalore, karnataka","india, karnataka, bangalore",,
merito,avp / vp â institutional sales : fii desk,"mumbai, maharashtra","india, maharashtra, mumbai",2500000.0,3000000.0
recex,business head/ vp/ coo (omnichannel – d2c & retail),"kolkata, west bengal","india, west bengal, kolkata",,
hsbc,"vp - regional portfolio counsellor, iwpb- pan india","chennai, tamil nadu","india, tamil nadu, chennai",,
barclays,vp product owner - demand and deposit accounting (dda),india,india,,
state street,"risk analytics product development / data scientist, vp","bangalore, karnataka","india, karnataka, bangalore",,
jp morgan,quantitative research equity derivative modelling - associate /vp,"mumbai, maharashtra","india, maharashtra, mumbai",,
jp morgan,quantitative research equity derivative modelling - associate /vp,"mumbai, maharashtra","india, maharashtra, mumbai",,
deutsche bank,"investment risk models senior risk manager, vp","mumbai, maharashtra","india, maharashtra, mumbai",,
deutsche bank,"investment risk models senior risk manager, vp","pune, maharashtra","india, maharashtra, pune",,
quick turtle,svp/vp/ avp / relationship managers / private bankers,"thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,svp/vp/ avp / relationship managers / private bankers,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,svp/vp/ avp / relationship managers / private bankers,"ernakulam, kerala","india, kerala, ernakulam",,
quick turtle,svp/vp/ avp / relationship managers / private bankers,"coimbatore, tamil nadu","india, tamil nadu, coimbatore",,
aqr,engineering - python data engineering software developer- vp,"bangalore, karnataka","india, karnataka, bangalore",,
quick turtle,svp/vp/ avp / relationship managers / private bankers,"delhi, india","india, delhi",,
quick turtle,vp / avp / dvp pcg advisor - partner alliance,"thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,vp / avp / dvp pcg advisor - partner alliance,"ernakulam, kerala","india, kerala, ernakulam",,
quick turtle,vp / avp / dvp pcg advisor - partner alliance,"navi mumbai, maharashtra","india, maharashtra, navi mumbai",,
quick turtle,"vp/ avp / bm- nri desk , equity broking","bangalore, karnataka","india, karnataka, bangalore",,
quick turtle,"vp/ avp / bm – nri desk, equity broking","bangalore, karnataka","india, karnataka, bangalore",,
quick turtle,"vp/ avp / bm- nri desk , equity broking","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest digitalx,"customer service & operations lead, reconciliation & investigations vp","chennai, tamil nadu","india, tamil nadu, chennai",,
quick turtle,vp / avp / dvp pcg advisor - partner alliance,"thane, maharashtra","india, maharashtra, thane",,
quick turtle,vp / avp / dvp pcg advisor - partner alliance,"hyderabad, telangana","india, telangana, hyderabad",,
quick turtle,vp / avp / dvp pcg advisor - partner alliance,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,vp / avp / dvp pcg advisor - partner alliance,"kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,vp / avp / dvp pcg advisor - partner alliance,"vadodara, gujarat","india, gujarat, vadodara",,
quick turtle,svp/vp/ avp / relationship managers / private bankers,"kolkata, west bengal","india, west bengal, kolkata",,
natwest digitalx,"customer service & operations lead, reconciliation & investigations vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest group,"business controls partner, pricing transaction and oversight, vp","bangalore, karnataka","india, karnataka, bangalore",,
deutsche bank,"document digitization/ unstructured-to-structured solutions lead, vp",india,india,,
vinayak outsourcing works,gm/vp - (raw materials for coal purchase) - raipur,"raipur, chhattisgarh","india, chhattisgarh, raipur",,
vinayak outsourcing works,vp sponge (500 tpd sponge iron ) - tilda,india,india,,
vinayak outsourcing works,"vp power for intigrated steel plant,gorakhpur ,uttarpradesh","gorakhpur, uttar pradesh","india, uttar pradesh, gorakhpur",,
talisman hr solutions,we are hiring for vp - strategy at precision manufacturing – mumbai,"mumbai, maharashtra","india, maharashtra, mumbai",,
hirestar job bank,chief operating officer (coo) / vp operations / business head,"chennai, tamil nadu","india, tamil nadu, chennai",2500000.0,4200000.0
dc consultants,vp/avp wealth manager - financial industry - mumbai (bandra),"mumbai, maharashtra","india, maharashtra, mumbai",,
mm staffing & career consultants,vp/senior solution architect/head of engineering for an it company,"chennai, tamil nadu","india, tamil nadu, chennai",,
jefferies financial group,senior java engineer (vp) – ib tech & crm/analytics,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,"vp/ avp/ manager , pcg (pvt. client group) advisory","kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,"vp/ avp/ manager , pcg (pvt. client group) advisory","vadodara, gujarat","india, gujarat, vadodara",,
quick turtle,"vp/ avp/ manager , pcg (pvt. client group) advisory","pune, maharashtra","india, maharashtra, pune",,
deutsche bank,senior cloud engineer – gcp – vp (ediscovery & archiving technology),india,india,,
expertiz,vp/gm/sr. manager - sales & marketing - real estate,"chennai, tamil nadu","india, tamil nadu, chennai",,
mufg global service ,"vp - finance, treasury and regulatory reporting (ftrr) internal audit","bangalore, karnataka","india, karnataka, bangalore",,
deutsche bank,"divisional risk and control regulatory and audit engagement lead, vp",india,india,,
deutsche bank,"senior python/java engineer – ai/ml platforms, vp",india,india,,
deutsche bank,"corporate bank technology – commercial banking – senior business, vp",india,india,,
deutsche bank,corporate bank technology – cash management – ai lead - vp,india,india,,
deutsche bank ag,lead qa engineer qa lead fin close vp,india,india,,
jp morgan,latin america & global families - lead credit officer vp,"mumbai, maharashtra","india, maharashtra, mumbai",,
4s advisory,senior manager/sr vp/ vice president - wealth management,"pune, maharashtra","india, maharashtra, pune",,
4s advisory,senior manager/senior vice president/vp - wealth management,"mumbai, maharashtra","india, maharashtra, mumbai",,
4s advisory,senior manager/sr vp/ vice president - wealth management,"nashik, maharashtra","india, maharashtra, nashik",,
houlihan lokey,"associate/vp, financial modelling, corporate valuation advisory services","mumbai, maharashtra","india, maharashtra, mumbai",,
deutsche bank,"corporate bank f2b ops transformation process engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
quick turtle,"vp/ avp / manager , pcg (pvt. client group) advisory","kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,"vp/ avp/ manager, pcg (pvt. client group) advisory","pune, maharashtra","india, maharashtra, pune",,
quick turtle,"vp/ avp/ manager, pcg (pvt. client group) advisory","chennai, tamil nadu","india, tamil nadu, chennai",,
quick turtle,"vp/ avp / manager , pcg (pvt. client group) advisory","pune, maharashtra","india, maharashtra, pune",,
quick turtle,"vp/ avp/ manager, pcg (pvt. client group) advisory","vadodara, gujarat","india, gujarat, vadodara",,
quick turtle,"vp/ avp/ manager, pcg (pvt. client group) advisory","kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,"vp/ avp / manager , pcg (pvt. client group) advisory","surat, gujarat","india, gujarat, surat",,
quick turtle,"vp/ avp / manager , pcg (pvt. client group) advisory","thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,vp / avp / dvp - pcg (pvt client group) advisor,"ernakulam, kerala","india, kerala, ernakulam",,
quick turtle,vp / avp / dvp - pcg (pvt client group) advisor,"kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,vp / avp / dvp - pcg (pvt client group) advisor,"ahmedabad, gujarat","india, gujarat, ahmedabad",,
quick turtle,vp / avp / dvp - pcg (pvt client group) advisor,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,vp / avp / dvp - pcg (pvt client group) advisor,"thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
citigroup,vp - quality management tax operations - client tax reporting,"chennai, tamil nadu","india, tamil nadu, chennai",,
citigroup,vp-transaction relationship manager- issuer services- agency & trust,"mumbai, maharashtra","india, maharashtra, mumbai",,
vinayak outsourcing works,gm / vp - mechanical (p.p) brown field project,"raigarh, chhattisgarh","india, chhattisgarh, raigarh",,
morgan stanley,"vp , p5, prin software eng : job level - vice president",india,india,,
"interscripts, inc.",senior director / vp – strategic alliances & partnerships (microsoft  workday healthcare),"kyasaram, hyderabad","india, telangana, hyderabad, kyasaram",,
dc consultants,vp /avp- merger and acquisition/equity fund raising- mumbai (bandra),"mumbai, maharashtra","india, maharashtra, mumbai",,
quick turtle,svp / vp / avp / relationship manager-private banker/wealth management,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,svp / vp / avp / relationship manager-private banker/wealth management,"vadodara, gujarat","india, gujarat, vadodara",,
quick turtle,svp / vp / avp / relationship manager-private banker/wealth management,"jaipur, rajasthan","india, rajasthan, jaipur",,
quick turtle,svp / vp / avp / relationship manager-private banker/wealth management,"ernakulam, kerala","india, kerala, ernakulam",,
quick turtle,svp / vp / avp / relationship manager-private banker/wealth management,"thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,"vp / avp / branch manager nri desk, pvt client group","kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,"vp / avp / branch manager nri desk, pvt client group","pune, maharashtra","india, maharashtra, pune",,
quick turtle,"vp / avp / branch manager nri desk, pvt client group","thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,"vp / avp / branch manager nri desk, pvt client group","ernakulam, kerala","india, kerala, ernakulam",,
dws,"investment risk - portfolio risk monitoring - senior risk manager, vp",india,india,,
quick turtle,svp/ vp/ avp/ relationship manager - private banker/ wealth management,"ernakulam, kerala","india, kerala, ernakulam",,
quick turtle,svp/ vp/ avp/ relationship manager - private banker/ wealth management,"bangalore, karnataka","india, karnataka, bangalore",,
quick turtle,svp/ vp/ avp/ relationship manager - private banker/ wealth management,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,svp/ vp/ avp/ relationship manager - private banker/ wealth management,"thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,svp/ vp/ avp/ relationship manager - private banker/ wealth management,"jaipur, rajasthan","india, rajasthan, jaipur",,
mashreq bank,"vp, head of operational risk orm_tcm and cibg - operational risk","bangalore, karnataka","india, karnataka, bangalore",,
deutsche bank,"corporate bank data services – data access control lead, vp",india,india,,
deutsche bank,"dws senior internal audit manager – group functions & apac, vp",india,india,,
synchrony international services,vp-privileged access management (pam) engineer (l12)engineer (l12),india,india,,
blackstone,vp - front office support (structured finance & commercial finance) lead,india,india,,
talent corner hr services private limited,private wealth & family office:- (senior manager/ avp/ dvp/ vp),"pune, maharashtra","india, maharashtra, pune",,
talent corner hr services private limited,private wealth & family office:- (senior manager/ avp/ dvp/ vp),"bangalore, karnataka","india, karnataka, bangalore",,
jp morgan,applied gen ai vp - wholesale credit risk quantitative research,"mumbai, maharashtra","india, maharashtra, mumbai",,
4s advisory,senior manager / sr vp / vice president - wealth management - bfsi,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,svp/vp/ avp/ relationship managers- pcg (private client group),"jaipur, rajasthan","india, rajasthan, jaipur",,
quick turtle,svp/vp/ avp/ relationship managers- pcg (private client group),"vadodara, gujarat","india, gujarat, vadodara",,
quick turtle,svp/vp/ avp/ relationship managers- pcg (private client group),"ahmedabad, gujarat","india, gujarat, ahmedabad",,
the search house,"general manager/ vp - epc consulting cement, power, process industries","delhi, india","india, delhi",,
quick turtle,svp/vp/ avp/ relationship managers- pcg (private client group),"pune, maharashtra","india, maharashtra, pune",,
exl,3838958-assistant manager,"noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",,
jefferies financial group,senior cloud sre/devops engineer (vp) – ib tech & crm/analytics,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,vp / avp / dvp pcg ( pvt client group ) advisor - partner alliance,"thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,vp / avp / dvp pcg ( pvt client group ) advisor - partner alliance,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,vp / avp / dvp pcg ( pvt client group ) advisor - partner alliance,"kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,vp / avp / dvp pcg ( pvt client group ) advisor - partner alliance,"navi mumbai, maharashtra","india, maharashtra, navi mumbai",,
quick turtle,vp / avp / dvp pcg ( pvt client group ) advisor - partner alliance,"vadodara, gujarat","india, gujarat, vadodara",,
quick turtle,vp / avp / dvp pcg ( pvt client group ) advisor - partner alliance,"ernakulam, kerala","india, kerala, ernakulam",,
quick turtle,svp/vp/ avp/ relationship managers- pcg (private client group)advisory,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,svp/vp/ avp/ relationship managers- pcg (private client group)advisory,"bangalore, karnataka","india, karnataka, bangalore",,
quick turtle,svp/vp/ avp/ relationship managers- pcg (private client group)advisory,"kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,svp/vp/ avp/ relationship managers- pcg (private client group)advisory,"hyderabad, telangana","india, telangana, hyderabad",,
easebiz fintech solutions llp,executive assistant,"ahmedabad, gujarat","india, gujarat, ahmedabad",500000.0,600000.0
mashreq bank,vp tribe lead_agile squad mgmt reporting.corporate affairs-head,"bangalore, karnataka","india, karnataka, bangalore",,
deutsche bank,"privileged access management (pam) business requirements and product ownership support, vp",india,india,,
dc consultants,relationship manager/sr. relationship manager/ avp / vp (sales) - mutual funds,"mumbai, maharashtra","india, maharashtra, mumbai",,
indium software,netsuite developer,"chennai, tamil nadu","india, tamil nadu, chennai",500000.0,1100000.0
concentrix,"sr. manager, global analytic",india,india,,
sks enterpprises,leadership - trade credit,"delhi, india","india, delhi",,
showpad,analyst - partnerships,"pune, maharashtra","india, maharashtra, pune",,
bosch group,it service manager,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,"vp/ avp/ dvp - pcg (pvt client group) advisor, b2b partner alliance","bangalore, karnataka","india, karnataka, bangalore",,
quick turtle,"vp/ avp/ dvp - pcg (pvt client group) advisor, b2b partner alliance","kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,"vp/ avp/ dvp - pcg (pvt client group) advisor, b2b partner alliance","vadodara, gujarat","india, gujarat, vadodara",,
quick turtle,"vp/ avp/ dvp - pcg (pvt client group) advisor, b2b partner alliance","thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,"vp/ avp/ dvp - pcg (pvt client group) advisor, b2b partner alliance","pune, maharashtra","india, maharashtra, pune",,
goldman sachs,corporate planning & management-bengaluru-support-divisional leadership,"bangalore, karnataka","india, karnataka, bangalore",,
talent leads consultants,"avp/vp – it infrastructure management (managing servers, networks, and cloud services), mumbai","mumbai, maharashtra","india, maharashtra, mumbai",,
quick turtle,"vp / avp / dvp - pcg (pvt client group) advisor, b2b partner alliance","navi mumbai, maharashtra","india, maharashtra, navi mumbai",,
quick turtle,"vp / avp / dvp - pcg (pvt client group) advisor, b2b partner alliance","pune, maharashtra","india, maharashtra, pune",,
quick turtle,"vp / avp / dvp - pcg (pvt client group) advisor, b2b partner alliance","thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,"vp / avp / dvp - pcg (pvt client group) advisor, b2b partner alliance","bangalore, karnataka","india, karnataka, bangalore",,
quick turtle,"vp / avp / dvp - pcg (pvt client group) advisor, b2b partner alliance","kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,"vp / avp / dvp - pcg (pvt client group) advisor, b2b partner alliance","vadodara, gujarat","india, gujarat, vadodara",,
post a resume,hiring sales head / gm / vp sales for a leading manufacturing industry - dubai location,"mumbai, maharashtra","india, maharashtra, mumbai",,
showpad,sales business partner,"pune, maharashtra","india, maharashtra, pune",,
ang placement & staffing solutions pvt ltd,neuro surgeon,"mohol, solapur","india, maharashtra, solapur, mohol",4500000.0,4500000.0
indus systems & services,sales account manager-mumbai,"nagardas road, mumbai","india, maharashtra, mumbai, nagardas road",1500000.0,2200000.0
colan infotech private limited,business development executive (us voice process),"chennai, tamil nadu","india, tamil nadu, chennai",,
genzeon global,uipath/automation practice director,"kyasaram, hyderabad","india, telangana, hyderabad, kyasaram",,
redfoxa careerlink pvt ltd,ai native operation expert- bpm,"mumbai, maharashtra","india, maharashtra, mumbai",2400000.0,3600000.0
phoenix mills,senior manager - leasing,"mumbai, maharashtra","india, maharashtra, mumbai",,
shikshakji.com,vice president - operations,"richmond town, bangalore","india, karnataka, bangalore, richmond town",2500000.0,3000000.0
acura solution,amazing opportunity into sales with a leading consulting firm,"mumbai, maharashtra","india, maharashtra, mumbai",,
tech first gulf,partner sales manager (ic) – it system integration ecosystem,"chandni chowk, north delhi","india, delhi, north delhi, chandni chowk",,
ameriprise,senior business program lead,india,india,,
real placements,hr adminstrator,"ahmedabad, gujarat","india, gujarat, ahmedabad",,
foriio,solution engineer,india,india,800000.0,2000000.0
acura solution,vice president – people & culture,"kanpur, kanpur dehat","india, uttar pradesh, kanpur dehat, kanpur",,
two95 international inc.,vice president - local engineering head / local cto,india,india,,
matellio india private limited,team lead/technical lead,"jaipur, rajasthan","india, rajasthan, jaipur",450000.0,1000000.0
amgen,sr associate r&d operations,"hyderabad, telangana","india, telangana, hyderabad",,
amgen,sr associate r&d operations,"hyderabad, telangana","india, telangana, hyderabad",,
topcoder,sap hcm time management consultant,"noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",,
matellio india private limited,project manager,india,india,600000.0,1600000.0
adci - blr 14 sez,"program manager, rbs speg ude","bangalore, karnataka","india, karnataka, bangalore",,
neugene international inc,opportunity for entrepreneurship: for hr consulting services (with large mnc) ref: nii-jp/2603/06-vp,"kolkata, west bengal","india, west bengal, kolkata",,
neugene international inc,opportunity for entrepreneurship: for hr consulting services (with large mnc) ref: nii-jp/2603/06-vp,"bangalore, karnataka","india, karnataka, bangalore",,
neugene international inc,opportunity for entrepreneurship: for hr consulting services (with large mnc) ref: nii-jp/2603/06-vp,"pune, maharashtra","india, maharashtra, pune",,
neugene international inc,opportunity for entrepreneurship: for hr consulting services (with large mnc) ref: nii-jp/2603/06-vp,"bangalore, karnataka","india, karnataka, bangalore",,
neugene international inc,opportunity for entrepreneurship: for hr consulting services (with large mnc) ref: nii-jp/2603/06-vp,"gurgaon, haryana","india, haryana, gurgaon",,
neugene international inc,opportunity for entrepreneurship: for hr consulting services (with large mnc) ref: nii-jp/2603/06-vp,"navi mumbai, maharashtra","india, maharashtra, navi mumbai",,
neugene international inc,opportunity for entrepreneurship: for hr consulting services (with large mnc) ref: nii-jp/2603/06-vp,"kolkata, west bengal","india, west bengal, kolkata",,
neugene international inc,opportunity for entrepreneurship: for hr consulting services (with large mnc) ref: nii-jp/2603/06-vp,"navi mumbai, maharashtra","india, maharashtra, navi mumbai",,
neugene international inc,opportunity for entrepreneurship: for hr consulting services (with large mnc) ref: nii-jp/2603/06-vp,"pune, maharashtra","india, maharashtra, pune",,
r1 rcm,associate director - strategy,"bangalore, karnataka","india, karnataka, bangalore",,
r1 rcm,associate director - strategy,"chennai, tamil nadu","india, tamil nadu, chennai",,
r1 rcm,associate director - strategy,india,india,,
r1 rcm,associate director - strategy,"hyderabad, telangana","india, telangana, hyderabad",,
r1 rcm,associate director - strategy,"noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",,
adidas,senior director supply chain india,"gurgaon, haryana","india, haryana, gurgaon",,
sysintelli inc,vice president of sales -medical devices,"hyderabad, telangana","india, telangana, hyderabad",,
neural concept,solutions engineer,"pune, maharashtra","india, maharashtra, pune",,
miracle hr solution,sales executive / officer (after market),india,india,,
mumbai rozgaar,marketing manager,"mumbai, maharashtra","india, maharashtra, mumbai",,
alke research private limited,senior clinical research assistant / lead cra,"bangalore, karnataka","india, karnataka, bangalore",0.0,1000000.0
universal aviation,marketing executive,"mini sectt., gurgaon","india, haryana, gurgaon, mini sectt.",500000.0,700000.0
jade global,business development manager,"hyderabad, telangana","india, telangana, hyderabad",,
hsbc,management trainee - cs intern,"mumbai, maharashtra","india, maharashtra, mumbai",,
arista networks,account manager-bfsi,"mumbai, maharashtra","india, maharashtra, mumbai",,
talent vertex partners,dcs engineers,"kumbalgodu, bangalore","india, karnataka, bangalore, kumbalgodu",,
logic planet,executive assistant,"bangalore, karnataka","india, karnataka, bangalore",,
central business solutions,senior sales manager,india,india,,
amgen,"executive director, site head, amgen genome valley (agv)","hyderabad, telangana","india, telangana, hyderabad",,
mufg global service ,avp - global kyc planning,"bangalore, karnataka","india, karnataka, bangalore",,
mastech digital inc,senior inside sales executive,india,india,,
tigi hr solution pvt. ltd.,manager,"mumbai, maharashtra","india, maharashtra, mumbai",500000.0,1500000.0
hunarstreet technologies pvt ltd,sales associate,"mumbai, maharashtra","india, maharashtra, mumbai",300000.0,500000.0
br raysoft global private limited,""" pt with j meter load runner groovy bangalore","bangalore, karnataka","india, karnataka, bangalore",,
vmultiply solutions,backend dotnet developer,"hyderabad, telangana","india, telangana, hyderabad",500000.0,1500000.0
dynamisch it pvt ltd,executive - international business development.,"pune, maharashtra","india, maharashtra, pune",100000.0,100000.0
deutsche bank,fxpd,india,india,,
deutsche bank,client implementation specialist,"bangalore, karnataka","india, karnataka, bangalore",,
social links llc,presale engineer,"delhi, india","india, delhi",,
br raysoft global private limited,mstr looker google kubernet,"chennai, tamil nadu","india, tamil nadu, chennai",,
the nielsen company,ai architect [lead software engineer],"bangalore, karnataka","india, karnataka, bangalore",,
the nielsen company,ai architect [lead software engineer],"mumbai, maharashtra","india, maharashtra, mumbai",,
qrata,engineering lead,"mumbai, maharashtra","india, maharashtra, mumbai",,
adci hyd 20 sez - h94,"senior program manager iii, selling partner trust and store integrity (tsi)","hyderabad, telangana","india, telangana, hyderabad",,
vinayak outsourcing works,head mines iron ore mine,"durg, chhattisgarh","india, chhattisgarh, durg",,
teradata,pricing analyst,india,india,,
talentxo,head of engineering,india,india,4000000.0,5000000.0
teradata,pricing analyst,india,india,,
r3 consultant,senior sales manager - real estate,"kolkata, west bengal","india, west bengal, kolkata",3000000.0,4000000.0
people first consultants pvt ltd,application support engineer l2 l3 support payments domain remote,india,india,,
sdp hr solution,dcs supervisor / executive - production,"bharuch, gujarat","india, gujarat, bharuch",,
vinayak outsourcing works,customer relationship manager (crm) - raipur,"raipur, chhattisgarh","india, chhattisgarh, raipur",,
m&g global services,assistant vice president - business solutions - middle office onboarding,india,india,,
br raysoft global private limited,full stack developer mobile apps 6 month c2h pune,"pune, maharashtra","india, maharashtra, pune",,
bullsurge,lead java developer - founding team(remote),india,india,800000.0,1500000.0
